"id","tag1","tag2","tag3"
48,"maintaining quality","",""
73,"maintaining quality","",""
81,"maintaining quality","testing","time"
88,"maintaining quality","maintain vision",""
109,"maintaining quality","",""
137,"maintaining quality","conflicts",""
145,"maintaining quality","",""
179,"maintaining quality","",""
203,"maintaining quality","",""
221,"maintaining quality","testing",""
258,"maintaining quality","",""
264,"maintaining quality","git knoweledge",""
286,"maintaining quality","",""
347,"maintaining quality","",""
348,"maintaining quality","",""
377,"maintaining quality","",""
378,"maintaining quality","",""
398,"maintaining quality","reviewing",""
399,"maintaining quality","",""
411,"maintaining quality","",""
421,"maintaining quality","",""
453,"maintaining quality","",""
454,"maintaining quality","",""
462,"maintaining quality","",""
464,"maintaining quality","",""
481,"maintaining quality","explaining rejection","git knoweledge"
492,"maintaining quality","",""
512,"maintaining quality","",""
542,"maintaining quality","",""
595,"maintaining quality","",""
597,"maintaining quality","maintain vision",""
611,"maintaining quality","differences in opinion",""
614,"maintaining quality","feature isolation",""
634,"maintaining quality","",""
638,"maintaining quality","",""
648,"maintaining quality","generalizing solutions","feature isolation"
704,"maintaining quality","",""
714,"maintaining quality","",""
733,"maintaining quality","",""
744,"maintaining quality","",""
10,"maintaining quality","",""
160,"motivating contributors","",""
237,"motivating contributors","poor documentation",""
239,"motivating contributors","maintaining quality",""
345,"motivating contributors","",""
353,"motivating contributors","",""
386,"motivating contributors","",""
431,"motivating contributors","",""
484,"motivating contributors","maintaining quality",""
493,"motivating contributors","",""
513,"motivating contributors","git knoweledge",""
38,"multiple communication channels","",""
553,"multiple communication channels","",""
2,"none","",""
4,"none","",""
6,"none","",""
7,"none","",""
12,"none","",""
14,"none","",""
15,"none","",""
17,"none","",""
24,"none","",""
31,"none","",""
33,"none","",""
34,"none","",""
35,"none","",""
36,"none","",""
37,"none","",""
39,"none","",""
41,"none","",""
43,"none","",""
45,"none","",""
49,"none","",""
50,"none","",""
53,"none","",""
55,"none","",""
57,"none","",""
59,"none","",""
60,"none","",""
61,"none","",""
63,"none","",""
64,"none","",""
67,"none","",""
69,"none","",""
71,"none","",""
74,"none","",""
77,"none","",""
78,"none","",""
84,"none","",""
85,"none","",""
86,"none","",""
87,"none","",""
89,"none","",""
90,"none","",""
95,"none","",""
100,"none","",""
101,"none","",""
102,"none","",""
103,"none","",""
104,"none","",""
107,"none","",""
108,"none","",""
111,"none","",""
112,"none","",""
113,"none","",""
115,"none","",""
116,"none","",""
117,"none","",""
120,"none","",""
122,"none","",""
123,"none","",""
125,"none","",""
127,"none","",""
128,"none","",""
130,"none","",""
132,"none","",""
133,"none","",""
134,"none","",""
135,"none","",""
136,"none","",""
138,"none","",""
146,"none","",""
148,"none","",""
149,"none","",""
152,"none","",""
153,"none","",""
157,"none","",""
158,"none","",""
162,"none","",""
163,"none","",""
165,"none","",""
166,"none","",""
168,"none","",""
169,"none","",""
173,"none","",""
174,"none","",""
175,"none","",""
176,"none","",""
181,"none","",""
182,"none","",""
183,"none","",""
184,"none","",""
187,"none","",""
190,"none","",""
193,"none","",""
196,"none","",""
197,"none","",""
198,"none","",""
199,"none","",""
202,"none","",""
205,"none","",""
206,"none","",""
207,"none","",""
209,"none","",""
211,"none","",""
213,"none","",""
215,"none","",""
216,"none","",""
217,"none","",""
220,"none","",""
222,"none","",""
224,"none","",""
226,"none","",""
227,"none","",""
229,"none","",""
236,"none","",""
242,"none","",""
243,"none","",""
246,"none","",""
249,"none","",""
250,"none","",""
252,"none","",""
253,"none","",""
254,"none","",""
256,"none","",""
257,"none","",""
262,"none","",""
263,"none","",""
265,"none","",""
266,"none","",""
268,"none","",""
270,"none","",""
272,"none","",""
273,"none","",""
280,"none","",""
281,"none","",""
282,"none","",""
283,"none","",""
284,"none","",""
285,"none","",""
290,"none","",""
291,"none","",""
294,"none","",""
295,"none","",""
296,"none","",""
297,"none","",""
300,"none","",""
301,"none","",""
302,"none","",""
304,"none","",""
305,"none","",""
307,"none","",""
309,"none","",""
314,"none","",""
317,"none","",""
318,"none","",""
320,"none","",""
321,"none","",""
322,"none","",""
325,"none","",""
329,"none","",""
330,"none","",""
332,"none","",""
334,"none","",""
335,"none","",""
337,"none","",""
339,"none","",""
340,"none","",""
341,"none","",""
342,"none","",""
343,"none","",""
344,"none","",""
349,"none","",""
351,"none","",""
352,"none","",""
358,"none","",""
359,"none","",""
361,"none","",""
364,"none","",""
368,"none","",""
369,"none","",""
372,"none","",""
373,"none","",""
374,"none","",""
376,"none","",""
387,"none","",""
389,"none","",""
393,"none","",""
394,"none","",""
395,"none","",""
397,"none","",""
400,"none","",""
401,"none","",""
406,"none","",""
408,"none","",""
409,"none","",""
410,"none","",""
413,"none","",""
415,"none","",""
419,"none","",""
420,"none","",""
422,"none","",""
423,"none","",""
424,"none","",""
425,"none","",""
428,"none","",""
429,"none","",""
434,"none","",""
437,"none","",""
438,"none","",""
439,"none","",""
440,"none","",""
442,"none","",""
445,"none","",""
450,"none","",""
461,"none","",""
463,"none","",""
467,"none","",""
474,"none","",""
475,"none","",""
477,"none","",""
478,"none","",""
479,"none","",""
483,"none","",""
485,"none","",""
486,"none","",""
489,"none","",""
490,"none","",""
491,"none","",""
494,"none","",""
495,"none","",""
499,"none","",""
501,"none","",""
502,"none","",""
504,"none","",""
508,"none","",""
511,"none","",""
515,"none","",""
516,"none","",""
521,"none","",""
522,"none","",""
526,"none","",""
528,"none","",""
529,"none","",""
531,"none","",""
533,"none","",""
534,"none","",""
538,"none","",""
540,"none","",""
541,"none","",""
546,"none","",""
548,"none","",""
550,"none","",""
554,"none","",""
557,"none","",""
558,"none","",""
559,"none","",""
560,"none","",""
564,"none","",""
568,"none","",""
569,"none","",""
570,"none","",""
574,"none","",""
577,"none","",""
579,"none","",""
581,"none","",""
584,"none","",""
587,"none","",""
588,"none","",""
590,"none","",""
591,"none","",""
592,"none","",""
593,"none","",""
594,"none","",""
596,"none","",""
599,"none","",""
601,"none","",""
605,"none","",""
607,"none","",""
608,"none","",""
613,"none","",""
615,"none","",""
618,"none","",""
620,"none","",""
621,"none","",""
622,"none","",""
624,"none","",""
626,"none","",""
629,"none","",""
630,"none","",""
631,"none","",""
636,"none","",""
637,"none","",""
639,"none","",""
643,"none","",""
644,"none","",""
645,"none","",""
651,"none","",""
656,"none","",""
663,"none","",""
664,"none","",""
666,"none","",""
667,"none","",""
668,"none","",""
670,"none","",""
671,"none","",""
675,"none","",""
676,"none","",""
679,"none","",""
680,"none","",""
682,"none","",""
684,"none","",""
687,"none","",""
688,"none","",""
690,"none","",""
691,"none","",""
694,"none","",""
695,"none","",""
696,"none","",""
698,"none","",""
702,"none","",""
707,"none","",""
709,"none","",""
713,"none","",""
719,"none","",""
720,"none","",""
721,"none","",""
725,"none","",""
728,"none","",""
729,"none","",""
730,"none","",""
732,"none","",""
734,"none","",""
736,"none","",""
738,"none","",""
740,"none","",""
741,"none","",""
742,"none","",""
743,"none","",""
745,"none","",""
748,"none","",""
749,"none","",""
247,"politeness","",""
328,"politeness","",""
452,"politeness","bikeshedding",""
456,"politeness","",""
277,"poor documentation","feature isolation",""
306,"poor documentation","",""
310,"poor documentation","",""
571,"poor documentation","feature isolation",""
251,"poor notifications","",""
278,"poor notifications","",""
619,"poor notifications","",""
212,"process ignorance","",""
326,"process ignorance","",""
52,"project speed","",""
150,"project speed","",""
336,"project speed","",""
692,"reaching consensus","",""
11,"responsiveness","",""
26,"responsiveness","",""
126,"responsiveness","",""
208,"responsiveness","",""
225,"responsiveness","",""
240,"responsiveness","age",""
269,"responsiveness","testing","hit 'n' run RPs"
360,"responsiveness","",""
362,"responsiveness","",""
466,"responsiveness","",""
519,"responsiveness","hit 'n' run RPs",""
543,"responsiveness","",""
555,"responsiveness","hit 'n' run RPs",""
580,"responsiveness","",""
708,"responsiveness","hit 'n' run RPs",""
750,"responsiveness","",""
72,"review tools","",""
99,"review tools","",""
195,"review tools","",""
259,"review tools","",""
288,"review tools","",""
313,"review tools","",""
388,"review tools","",""
448,"review tools","",""
567,"review tools","",""
582,"review tools","tools",""
589,"review tools","",""
652,"review tools","",""
678,"review tools","",""
700,"review tools","",""
727,"review tools","",""
129,"reviewing","",""
151,"reviewing","",""
154,"reviewing","",""
161,"reviewing","",""
185,"reviewing","",""
308,"reviewing","",""
324,"reviewing","",""
365,"reviewing","",""
382,"reviewing","",""
385,"reviewing","developer availability",""
391,"reviewing","",""
407,"reviewing","volume",""
433,"reviewing","size",""
455,"reviewing","",""
488,"reviewing","",""
576,"reviewing","",""
602,"age","",""
697,"reviewing","",""
710,"reviewing","coordination among integrators",""
40,"size","",""
192,"size","reviewing",""
230,"size","testing",""
248,"size","",""
355,"size","",""
379,"size","",""
412,"size","",""
585,"size","maintaining quality",""
689,"size","",""
731,"size","reviewing",""
735,"size","",""
18,"syncing","",""
83,"syncing","",""
96,"syncing","",""
298,"syncing","",""
416,"syncing","tools",""
441,"syncing","generalizing solutions",""
520,"syncing","",""
616,"syncing","",""
375,"","",""
21,"testing","",""
131,"testing","",""
147,"testing","",""
350,"testing","",""
380,"testing","",""
443,"testing","",""
444,"testing","",""
458,"testing","poor documentation",""
565,"testing","",""
699,"testing","",""
717,"testing","",""
1,"time","",""
8,"time","",""
20,"time","",""
47,"time","",""
68,"time","responsiveness",""
76,"time","",""
79,"time","",""
80,"time","",""
92,"time","",""
106,"time","",""
118,"time","",""
121,"time","",""
159,"time","",""
201,"time","",""
204,"time","",""
219,"time","",""
261,"time","",""
275,"time","",""
293,"time","",""
299,"time","",""
303,"time","",""
311,"time","",""
315,"time","",""
319,"time","size","differences in opinion"
323,"time","",""
327,"time","",""
357,"time","",""
363,"time","",""
371,"time","",""
392,"time","",""
396,"time","",""
417,"time","",""
426,"time","",""
430,"time","",""
432,"time","",""
435,"time","reaching consensus",""
446,"time","",""
447,"time","explaining rejection",""
459,"time","",""
470,"time","",""
473,"time","",""
476,"time","",""
496,"time","",""
497,"time","",""
505,"time","",""
530,"time","",""
532,"time","",""
549,"time","",""
551,"time","",""
552,"time","",""
556,"time","",""
566,"time","",""
575,"time","",""
600,"time","",""
640,"time","reviewing",""
649,"time","",""
657,"time","",""
659,"time","",""
662,"time","",""
672,"time","",""
693,"time","",""
705,"time","",""
718,"time","",""
13,"timezones","",""
228,"timezones","developer availability",""
241,"timezones","",""
354,"timezones","coordination among integrators",""
19,"tools","",""
119,"tools","git knoweledge",""
144,"tools","",""
172,"tools","",""
194,"tools","review tools","age"
223,"tools","",""
287,"tools","",""
627,"tools","",""
647,"tools","",""
3,"volume","",""
22,"volume","testing",""
23,"volume","maintain vision",""
32,"volume","",""
124,"volume","",""
164,"volume","reviewing",""
218,"volume","",""
231,"volume","generalizing solutions","maintain vision"
235,"volume","",""
267,"volume","",""
316,"volume","",""
383,"volume","",""
414,"volume","",""
514,"volume","",""
525,"volume","",""
573,"volume","time",""
583,"volume","",""
606,"volume","",""
623,"volume","reviewing",""
633,"volume","reviewing",""
706,"volume","",""
712,"volume","",""
723,"volume","",""
724,"volume","",""
661,"volume","",""
28,"","",""
140,"","",""
156,"","",""
180,"","",""
271,"","",""
274,"","",""
331,"","",""
333,"","",""
427,"","",""
451,"","",""
457,"","",""
465,"","",""
469,"","",""
482,"","",""
610,"","",""
617,"","",""
628,"","",""
650,"","",""
653,"","",""
658,"","",""
660,"","",""
669,"","",""
