"X","tag1","tag2","tag3"
352,"no prioritization","",""
353,"size of change","",""
354,"no prioritization","",""
355,"impact","size of change",""
356,"review cycle","",""
357,"criticality of fix","type",""
358,"criticality of fix","",""
359,"criticality of fix","type",""
360,"no prioritization","",""
361,"age","",""
362,"criticality of fix","",""
363,"no prioritization","",""
364,"review cycle","",""
365,"age","",""
366,"no prioritization","",""
367,"project roadmap","",""
368,"urgency of feature","criticality of fix",""
369,"no prioritization","",""
370,"urgency of feature","merge conflicts",""
371,"age","",""
372,"reviewer familiarity","",""
373,"age","",""
374,"impact","",""
375,"review cycle","",""
376,"no prioritization","",""
377,"complexity","",""
378,"complexity","",""
379,"age","",""
380,"dependencies","merge conflicts",""
381,"type","size of change","age"
382,"criticality of fix","existence of tests",""
383,"age","",""
384,"age","",""
385,"type","",""
386,"urgency of feature","age","complexity"
387,"no prioritization","",""
388,"urgency of feature","complexity","merge conflicts"
389,"merge conflicts","complexity",""
390,"reviewer familiarity","",""
391,"no prioritization","",""
392,"criticality of fix","",""
393,"no prioritization","",""
394,"age","",""
395,"age","",""
396,"","",""
397,"urgency of feature","",""
398,"contributor origin","quality","existence of tests"
399,"age","",""
400,"age","",""
401,"urgency of feature","",""
402,"age","",""
403,"age","urgency of feature",""
404,"age","",""
405,"urgency of feature","criticality of fix",""
406,"project roadmap","",""
407,"reviewer familiarity","urgency of feature",""
408,"age","",""
409,"urgency of feature","",""
410,"type","",""
411,"contributor origin","type",""
412,"","",""
413,"type","",""
414,"existence of tests","size of change",""
415,"type","",""
416,"type","size of change",""
417,"complexity","contributor track record",""
418,"complexity","",""
419,"no prioritization","age",""
420,"urgency of feature","criticality of fix",""
421,"urgency of feature","quality",""
422,"age","reviewer familiarity","contributor origin"
423,"merge conflicts","",""
424,"type","size of change","existence of tests"
425,"urgency of feature","criticality of fix","no prioritization"
426,"age","urgency of feature",""
427,"contributor origin","",""
428,"size of change","urgency of feature",""
429,"type","",""
430,"project roadmap","",""
431,"contributor origin","",""
432,"complexity","age",""
433,"no prioritization","",""
434,"type","",""
435,"no prioritization","",""
436,"age","size of change","complexity"
437,"urgency of feature","complexity",""
438,"project roadmap","",""
439,"","",""
440,"age","",""
441,"no prioritization","",""
442,"merge conflicts","",""
443,"complexity","",""
444,"urgency of feature","",""
445,"","",""
446,"type","",""
447,"quality","type",""
448,"quality","",""
449,"no prioritization","",""
450,"age","",""
451,"type","",""
452,"urgency of feature","",""
453,"urgency of feature","age",""
454,"impact","",""
455,"","",""
456,"complexity","",""
457,"project roadmap","",""
458,"urgency of feature","",""
459,"type","",""
460,"criticality of fix","project roadmap",""
461,"no prioritization","",""
462,"","",""
463,"reviewer familiarity","quality",""
464,"reviewer familiarity","urgency of feature","complexity"
465,"age","",""
466,"no prioritization","",""
467,"reviewer familiarity","",""
468,"no prioritization","",""
469,"age","contributor track record","reviewer familiarity"
470,"no prioritization","",""
471,"age","size of change","existence of tests"
472,"age","",""
473,"complexity","",""
474,"","",""
475,"","",""
476,"age","urgency of feature",""
477,"type","",""
478,"reviewer availability","",""
479,"project roadmap","",""
480,"complexity","",""
481,"","",""
482,"quality","existence of tests","contributor track record"
483,"","",""
484,"urgency of feature","criticality of fix",""
485,"","",""
486,"type","",""
487,"merge conflicts","impact",""
488,"age","",""
489,"contributor track record","size of change","existence of tests"
490,"size of change","",""
491,"","",""
492,"adherence to process","review cycle",""
493,"age","",""
494,"contributor track record","urgency of feature","quality"
495,"reviewer familiarity","",""
496,"complexity","quality","criticality of fix"
497,"","",""
498,"contributor origin","",""
499,"size of change","type",""
500,"age","",""
501,"reviewer availability","",""
502,"type","size of change","complexity"
503,"reviewer availability","",""
504,"","",""
505,"urgency of feature","",""
506,"criticality of fix","urgency of feature",""
507,"criticality of fix","urgency of feature",""
508,"type","",""
509,"size of change","contributor track record","relevance to project"
510,"","",""
511,"criticality of fix","urgency of feature",""
512,"","",""
513,"project roadmap","existence of tests","contributor track record"
514,"size of change","urgency of feature","merge conflicts"
515,"","",""
516,"urgency of feature","impact",""
517,"","",""
518,"","",""
519,"test result","",""
520,"project roadmap","complexity",""
521,"age","",""
522,"","",""
523,"project roadmap","age","complexity"
524,"contributor track record","age","impact"
525,"contributor track record","",""
526,"age","",""
527,"no prioritization","",""
528,"","",""
529,"","",""
530,"impact","",""
531,"size of change","complexity",""
532,"reviewer familiarity","project roadmap","contributor origin"
533,"quality","",""
534,"size of change","type","urgency of feature"
535,"type","existence of tests","criticality of fix"
536,"size of change","existence of tests","test result"
537,"quality","size of change",""
538,"complexity","size of change",""
539,"dependencies","",""
540,"no prioritization","",""
541,"urgency of feature","criticality of fix",""
542,"complexity","size of change",""
543,"reviewer familiarity","",""
544,"complexity","size of change","type"
545,"size of change","",""
546,"contributor track record","size of change",""
547,"no prioritization","",""
548,"size of change","existence of tests",""
549,"no prioritization","",""
550,"size of change","review cycle",""
551,"merge conflicts","",""
552,"no prioritization","",""
553,"no prioritization","",""
554,"urgency of feature","",""
555,"project roadmap","",""
556,"no prioritization","",""
557,"quality","reviewer availability",""
558,"project roadmap","",""
559,"","",""
560,"","",""
561,"age","",""
562,"project roadmap","",""
563,"","",""
564,"","",""
565,"size of change","urgency of feature","criticality of fix"
566,"criticality of fix","size of change","reviewer familiarity"
567,"","",""
568,"type","",""
569,"project roadmap","size of change",""
570,"age","",""
571,"type","",""
572,"no prioritization","",""
573,"project roadmap","",""
574,"criticality of fix","",""
575,"contributor track record","quality",""
576,"project roadmap","",""
577,"complexity","",""
578,"existence of tests","criticality of fix",""
579,"criticality of fix","",""
580,"criticality of fix","review cycle",""
581,"","",""
582,"quality","urgency of feature","contributor track record"
583,"size of change","existence of tests",""
584,"age","",""
585,"size of change","existence of tests","reviewer familiarity"
586,"urgency of feature","criticality of fix",""
587,"size of change","reviewer familiarity","criticality of fix"
588,"age","",""
589,"age","complexity",""
590,"urgency of feature","criticality of fix",""
591,"dependencies","urgency of feature",""
592,"","",""
593,"contributor track record","size of change","type"
594,"type","size of change","project roadmap"
595,"urgency of feature","complexity",""
596,"review cycle","",""
597,"merge conflicts","complexity","review cycle"
598,"reviewer familiarity","",""
599,"","",""
600,"","",""
601,"age","",""
602,"type","criticality of fix",""
603,"criticality of fix","",""
604,"merge conflicts","test result","urgency of feature"
605,"reviewer familiarity","",""
606,"complexity","urgency of feature","criticality of fix"
607,"type","urgency of feature","criticality of fix"
608,"project roadmap","",""
609,"complexity","",""
610,"size of change","",""
611,"type","size of change","quality"
612,"type","",""
613,"complexity","urgency of feature","criticality of fix"
614,"","",""
615,"age","",""
616,"age","criticality of fix",""
617,"no prioritization","",""
618,"type","",""
619,"contributor track record","urgency of feature",""
620,"project roadmap","",""
621,"urgency of feature","criticality of fix",""
622,"size of change","",""
623,"size of change","",""
624,"size of change","contributor origin","urgency of feature"
625,"type","",""
626,"type","quality",""
627,"test result","",""
628,"","",""
629,"no prioritization","",""
630,"type","",""
631,"age","",""
632,"complexity","",""
633,"reviewer familiarity","",""
634,"criticality of fix","",""
635,"impact","type",""
636,"age","",""
637,"size of change","dependencies",""
638,"type","",""
639,"no prioritization","",""
640,"size of change","urgency of feature",""
641,"","",""
642,"size of change","complexity","dependencies"
643,"quality","",""
644,"","",""
645,"urgency of feature","criticality of fix",""
646,"age","",""
647,"age","",""
648,"merge conflicts","quality",""
649,"size of change","",""
650,"size of change","reviewer familiarity","type"
651,"size of change","quality",""
652,"urgency of feature","reviewer familiarity",""
653,"impact","urgency of feature","quality"
654,"type","",""
655,"type","",""
656,"no prioritization","",""
657,"complexity","type",""
658,"size of change","existence of tests","contributor track record"
659,"urgency of feature","size of change",""
660,"urgency of feature","review cycle",""
661,"urgency of feature","",""
662,"age","test result","contributor track record"
663,"no prioritization","",""
664,"no prioritization","",""
665,"criticality of fix","complexity","project roadmap"
666,"no prioritization","",""
667,"urgency of feature","",""
668,"type","",""
669,"urgency of feature","criticality of fix",""
670,"urgency of feature","",""
671,"no prioritization","",""
672,"type","",""
673,"quality","",""
674,"criticality of fix","urgency of feature",""
675,"type","",""
676,"","",""
677,"type","criticality of fix","urgency of feature"
678,"project roadmap","",""
679,"criticality of fix","urgency of feature",""
680,"age","",""
681,"project roadmap","",""
682,"dependencies","impact",""
683,"size of change","contributor track record",""
684,"dependencies","",""
685,"type","",""
686,"complexity","urgency of feature","criticality of fix"
687,"no prioritization","",""
688,"type","",""
689,"size of change","complexity",""
690,"review cycle","",""
691,"no prioritization","",""
692,"type","existence of tests",""
693,"no prioritization","",""
694,"no prioritization","",""
695,"project roadmap","",""
696,"urgency of feature","",""
697,"criticality of fix","size of change",""
698,"quality","contributor track record",""
699,"no prioritization","",""
700,"age","size of change",""
701,"type","project roadmap",""
702,"criticality of fix","urgency of feature",""
703,"no prioritization","",""
704,"project roadmap","complexity",""
705,"age","",""
706,"size of change","existence of tests",""
707,"no prioritization","",""
708,"project roadmap","",""
709,"","",""
710,"age","",""
711,"no prioritization","",""
712,"","",""
713,"","",""
714,"","",""
715,"","",""
716,"","",""
717,"no prioritization","",""
718,"reviewer availability","",""
719,"test result","",""
720,"","",""
721,"type","",""
722,"","",""
723,"test result","",""
724,"","",""
725,"complexity","",""
726,"type","size of change",""
727,"","",""
728,"","",""
729,"","",""
730,"","",""
731,"criticality of fix","urgency of feature",""
732,"age","urgency of feature",""
733,"reviewer availability","",""
734,"","",""
735,"age","size of change",""
736,"","",""
737,"","",""
738,"","",""
739,"","",""
740,"","",""
741,"dependencies","criticality of fix",""
742,"age","",""
743,"no prioritization","",""
744,"","",""
745,"","",""
746,"criticality of fix","urgency of feature",""
747,"","",""
748,"","",""
749,"quality","",""
